name,latitude,longitude,address
Vinod Sharma Memorial Medical Centre,18.9230941,72.8276074,"9th Floor, Room No-91, Lady Ratan Tata Medical & Research Centre 31, Maharshi Karve Road, Cooperage, Mumbai, Maharashtra, 400020, India"
Banaji Eyesurgery and Laser Center,18.9280300,72.8255100,"Navsari Building, 240 Dr D N Road, Fort, Mumbai, Maharashtra, 400001, India"
Spectrum Health Care,18.9288600,72.8247900,"81-84 Lady Ratan Tata Medical & Research Centre, Cooperage, Mumbai, Maharashtra, 400020, India"
Saifee Ambulance,18.9630600,72.8276100,"Maharshi Karve Road, Tardeo, Mumbai, Maharashtra, 400034, India"
Bhatia Hospital,18.9682800,72.8138000,"Tukaram Javji Road, Tardeo, Mumbai, Maharashtra, 400007, India"
Bombay Hospital,18.9442700,72.8254200,"12 Marine Lines, New Marine Lines, Mumbai, Maharashtra, 400020, India"
St. George Hospital,18.9402100,72.8398800,"P D'Mello Road, Fort, Mumbai, Maharashtra, 400001, India"
Gokuldas Tejpal Hospital,18.9556400,72.8171700,"Dr. G G Deshmukh Marg, Charni Road, Mumbai, Maharashtra, 400004, India"
Sir H. N. Reliance Foundation Hospital,18.9666200,72.8079500,"Raja Rammohan Roy Road, Girgaon, Mumbai, Maharashtra, 400004, India"
JJ Hospital,18.9629300,72.8355500,"J J Marg, Nagpada-Mumbai Central, Mumbai, Maharashtra, 400008, India"
KEM Hospital,19.0029700,72.8413500,"Acharya Donde Marg, Parel, Mumbai, Maharashtra, 400012, India"
Tata Memorial Hospital,19.0049200,72.8425600,"Dr E Borges Road, Parel, Mumbai, Maharashtra, 400012, India"
Global Hospital Parel,19.0103900,72.8381500,"35 Dr E Borges Road, Parel, Mumbai, Maharashtra, 400012, India"
Wockhardt Hospital,19.0236200,72.8353400,"1877 Dr Anandrao Nair Road, Mumbai Central, Mumbai, Maharashtra, 400011, India"
Breach Candy Hospital,18.9679600,72.8038600,"60 Bhulabhai Desai Road, Breach Candy, Mumbai, Maharashtra, 400026, India"
Hiranandani Hospital,19.1178700,72.9069200,"Hill Side Avenue, Hiranandani Gardens, Powai, Mumbai, Maharashtra, 400076, India"
SevenHills Hospital,19.1202400,72.8786100,"Marol Maroshi Road, Andheri East, Mumbai, Maharashtra, 400059, India"
Kokilaben Dhirubhai Ambani Hospital,19.1314600,72.8253100,"Four Bungalows, Andheri West, Mumbai, Maharashtra, 400053, India"
Nanavati Max Super Speciality Hospital,19.0955800,72.8404200,"S V Road, Vile Parle West, Mumbai, Maharashtra, 400056, India"
Lilavati Hospital,19.0509700,72.8295900,"A-791, Bandra Reclamation, Bandra West, Mumbai, Maharashtra, 400050, India"
Hinduja Hospital,19.0300900,72.8396400,"Veer Savarkar Marg, Mahim West, Mumbai, Maharashtra, 400016, India"
Sion Hospital,19.0382900,72.8615100,"Dr Babasaheb Ambedkar Road, Sion West, Mumbai, Maharashtra, 400022, India"
Rajawadi Hospital,19.0827300,72.9091400,"Mahatma Gandhi Road, Ghatkopar East, Mumbai, Maharashtra, 400077, India"
Fortis Hospital Mulund,19.1726300,72.9563100,"Mulund Goregaon Link Road, Mulund West, Mumbai, Maharashtra, 400078, India"
HBT Trauma Care Hospital,19.1035800,72.8269600,"Jogeshwari Vikhroli Link Road, Jogeshwari East, Mumbai, Maharashtra, 400060, India"
